fiber_id head_id    ifu_x   ifu_y trace_row exclude_fiber
-------- ------- -------- ------- --------- -------------
     1.0     1.0 -46.4293  49.488    11.447           1.0
     2.0     2.0 -39.2864  49.488    19.288           1.0
     3.0     3.0 -32.1434  49.488    27.287           0.0
     4.0     4.0 -25.0004  49.488    35.345           0.0
     5.0     5.0 -17.8574  49.488    43.521           0.0
     6.0     6.0 -10.7145  49.488    51.431           0.0
     7.0     7.0 -3.57149  49.488    59.517           0.0
     8.0     8.0  3.57149  49.488    67.589           0.0
     9.0     9.0  10.7145  49.488    75.642           0.0
    10.0    10.0  17.8574  49.488    83.587           0.0
    11.0    11.0  25.0004  49.488     91.62           0.0
    12.0    12.0  32.1434  49.488    99.669           0.0
    13.0    13.0  39.2864  49.488   107.681           0.0
    14.0    14.0  46.4293  49.488   115.804           0.0
    15.0    15.0 -50.0008  43.302   123.697           0.0
    16.0    16.0 -42.8579  43.302   131.764           0.0
    17.0    17.0 -35.7149  43.302   139.901           0.0
    18.0    18.0 -28.5719  43.302    147.94           0.0
    19.0    19.0 -21.4289  43.302   155.918           0.0
    20.0    20.0  -14.286  43.302   163.898           0.0
    21.0    21.0 -7.14298  43.302   172.084           0.0
    22.0    22.0      0.0  43.302   179.938           0.0
    23.0    23.0  7.14298  43.302   187.933           0.0
    24.0    24.0   14.286  43.302   195.999           0.0
    25.0    25.0  21.4289  43.302   203.838           0.0
    26.0    26.0  28.5719  43.302   211.824           0.0
    27.0    27.0  35.7149  43.302   219.789           0.0
    28.0    28.0  42.8579  43.302   227.781           0.0
    29.0    29.0  50.0008  43.302   235.822           0.0
    30.0    30.0 -46.4293  37.116   243.846           0.0
    31.0    31.0 -39.2864  37.116   251.816           0.0
    32.0    32.0 -32.1434  37.116   259.839           0.0
    33.0    33.0 -25.0004  37.116   267.784           0.0
    34.0    34.0 -17.8574  37.116   275.723           0.0
    35.0    35.0 -10.7145  37.116   283.731           0.0
    36.0    36.0 -3.57149  37.116   291.672           0.0
    37.0    37.0  3.57149  37.116   299.624           0.0
    38.0    38.0  10.7145  37.116   307.601           0.0
    39.0    39.0  17.8574  37.116   315.574           0.0
    40.0    40.0  25.0004  37.116   323.489           0.0
    41.0    41.0  32.1434  37.116   331.506           0.0
    42.0    42.0  39.2864  37.116   339.444           0.0
