fiber_id head_id   ifu_x    ifu_y trace_row exclude_fiber
-------- ------- ------- -------- --------- -------------
       1      S1     0.0   -600.0    2011.0           0.0
       2       1  1.0751  38.4834    2005.0           0.0
       3       2  1.0751  36.0006    1998.0           0.0
       4       3  1.0751  33.5178    1992.0           0.0
       5       4  1.0751   31.035    1985.0           0.0
       6       5  1.0751  28.5522    1979.0           0.0
       7       6  1.0751  26.0694    1972.0           0.0
       8       7  1.0751  23.5866    1966.0           0.0
       9       8  1.0751  21.1038    1960.0           0.0
      10      S2     0.0   -600.0    1953.0           0.0
      11       9  1.0751   18.621    1947.0           0.0
      12      10  1.0751  16.1382    1940.0           0.0
      13      11  1.0751  13.6554    1934.0           0.0
      14      12  1.0751  11.1726    1928.0           0.0
      15      13  1.0751   8.6898    1921.0           0.0
      16      14  1.0751    6.207    1915.0           0.0
      17      15  1.0751   3.7242    1908.0           0.0
      18      16  1.0751   1.2414    1902.0           0.0
      19       -     nan      nan       nan           1.0
      20      S3     0.0   -600.0    1889.0           0.0
      21      17  1.0751  -1.2414    1883.0           0.0
      22      18  1.0751  -3.7242    1876.0           0.0
      23      19  1.0751   -6.207    1870.0           0.0
      24      20  1.0751  -8.6898    1863.0           0.0
      25      21  1.0751 -11.1726    1857.0           0.0
      26      22  1.0751 -13.6554    1851.0           0.0
      27      23  1.0751 -16.1382    1844.0           0.0
      28      24  1.0751  -18.621    1838.0           0.0
      29      S4     0.0   -600.0    1831.0           0.0
      30      25  1.0751 -21.1038    1825.0           0.0
      31      26  1.0751 -23.5866    1818.0           0.0
      32      27  1.0751 -26.0694    1812.0           0.0
      33      28  1.0751 -28.5522    1805.0           0.0
      34      29  1.0751  -31.035    1799.0           0.0
      35      30  1.0751 -33.5178    1793.0           0.0
      36      31  1.0751 -36.0006    1786.0           0.0
      37      32  1.0751 -38.4834    1780.0           0.0
      38       -     nan      nan       nan           1.0
      39    _S5_     nan      nan       nan           1.0
      40      33  3.2253  39.7248    1760.0           0.0
      41      34  3.2253   37.242    1754.0           0.0
      42      35  3.2253  34.7592    1747.0           0.0
      43      36  3.2253  32.2764    1741.0           0.0
      44      37  3.2253  29.7936    1734.0           0.0
      45      38  3.2253  27.3108    1728.0           0.0
      46      39  3.2253   24.828    1722.0           0.0
      47      40  3.2253  22.3452    1715.0           0.0
      48      S6     0.0   -600.0    1709.0           0.0
      49      41  3.2253  19.8624    1702.0           0.0
      50      42  3.2253  17.3796    1696.0           0.0
      51      43  3.2253  14.8968    1689.0           0.0
      52      44  3.2253   12.414    1683.0           0.0
      53      45  3.2253   9.9312    1676.0           0.0
      54      46  3.2253   7.4484    1670.0           0.0
      55      47  3.2253   4.9656    1663.0           0.0
      56      48  3.2253   2.4828    1657.0           0.0
      57       -     nan      nan       nan           1.0
      58      S7     0.0   -600.0    1644.0           0.0
      59      49  3.2253      0.0    1638.0           0.0
      60      50  3.2253  -2.4828    1631.0           0.0
      61      51  3.2253  -4.9656    1624.0           0.0
      62      52  3.2253  -7.4484    1618.0           0.0
      63      53  3.2253  -9.9312    1611.0           0.0
      64      54  3.2253  -12.414    1605.0           0.0
      65      55  3.2253 -14.8968    1599.0           0.0
      66      56  3.2253 -17.3796    1592.0           0.0
      67      S8     0.0   -600.0    1586.0           0.0
      68      57  3.2253 -19.8624    1579.0           0.0
      69      58  3.2253 -22.3452    1573.0           0.0
      70      59  3.2253  -24.828    1566.0           0.0
      71      60  3.2253 -27.3108    1560.0           0.0
      72      61  3.2253 -29.7936    1553.0           0.0
      73      62  3.2253 -32.2764    1547.0           0.0
      74      63  3.2253 -34.7592    1540.0           0.0
      75      64  3.2253  -37.242    1534.0           0.0
      76       -     nan      nan       nan           1.0
      77      S9     0.0   -600.0    1521.0           0.0
      78      65  5.3754  38.4834    1515.0           0.0
      79      66  5.3754  36.0006    1508.0           0.0
      80      67  5.3754  33.5178    1502.0           0.0
      81      68  5.3754   31.035    1495.0           0.0
      82      69  5.3754  28.5522    1489.0           0.0
      83      70  5.3754  26.0694    1482.0           0.0
      84      71  5.3754  23.5866    1476.0           0.0
      85      72  5.3754  21.1038    1469.0           0.0
      86     S10     0.0   -600.0    1463.0           0.0
      87      73  5.3754   18.621    1456.0           0.0
      88      74  5.3754  16.1382    1450.0           0.0
      89      75  5.3754  13.6554    1443.0           0.0
      90      76  5.3754  11.1726    1437.0           0.0
      91      77  5.3754   8.6898    1430.0           0.0
      92      78  5.3754    6.207    1424.0           0.0
      93      79  5.3754   3.7242    1417.0           0.0
      94      80  5.3754   1.2414    1411.0           0.0
      95       -     nan      nan       nan           1.0
      96   _S11_     nan      nan       nan           1.0
      97      81  5.3754  -1.2414    1391.0           0.0
      98      82  5.3754  -3.7242    1385.0           0.0
      99      83  5.3754   -6.207    1378.0           0.0
     100      84  5.3754  -8.6898    1372.0           0.0
     101      85  5.3754 -11.1726    1365.0           0.0
     103      86  5.3754 -13.6554    1359.0           0.0
     102      87  5.3754 -16.1382    1353.0           0.0
     104      88  5.3754  -18.621    1346.0           0.0
     105     S12     0.0   -600.0    1339.0           0.0
     106      89  5.3754 -21.1038    1333.0           0.0
     107      90  5.3754 -23.5866    1327.0           0.0
     108      91  5.3754 -26.0694    1320.0           0.0
     109      92  5.3754 -28.5522    1314.0           0.0
     110      93  5.3754  -31.035    1307.0           0.0
     111      94  5.3754 -33.5178    1300.0           0.0
     112      95  5.3754 -36.0006    1294.0           0.0
     113      96  5.3754 -38.4834    1288.0           0.0
     114       -     nan      nan       nan           1.0
     115     S13     0.0   -600.0    1275.0           0.0
     116      97  7.5256  39.7248    1268.0           0.0
     117      98  7.5256   37.242    1261.0           0.0
     118      99  7.5256  34.7592    1255.0           0.0
     119     100  7.5256  32.2764    1249.0           0.0
     120     101  7.5256  29.7936    1242.0           0.0
     121     102  7.5256  27.3108    1236.0           0.0
     122     103  7.5256   24.828    1229.0           0.0
     123     104  7.5256  22.3452    1223.0           0.0
     124     S14     0.0   -600.0    1216.0           0.0
     125     105  7.5256  19.8624    1210.0           0.0
     126     106  7.5256  17.3796    1203.0           0.0
     128     107  7.5256  14.8968    1197.0           0.0
     127     108  7.5256   12.414    1190.0           0.0
     129     109  7.5256   9.9312    1184.0           0.0
     130     110  7.5256   7.4484    1177.0           0.0
     131     111  7.5256   4.9656    1171.0           0.0
     132     112  7.5256   2.4828    1164.0           0.0
     133       -     nan      nan       nan           1.0
     134     S15     0.0   -600.0    1151.0           0.0
     135     113  7.5256      0.0    1145.0           0.0
     136     114  7.5256  -2.4828    1138.0           0.0
     137     115  7.5256  -4.9656    1132.0           0.0
     138     116  7.5256  -7.4484    1125.0           0.0
     139     117  7.5256  -9.9312    1119.0           0.0
     140     118  7.5256  -12.414    1112.0           0.0
     141     119  7.5256 -14.8968    1106.0           0.0
     142     120  7.5256 -17.3796    1099.0           0.0
     143     S16     0.0   -600.0    1093.0           0.0
     144     121  7.5256 -19.8624    1086.0           0.0
     145     122  7.5256 -22.3452    1080.0           0.0
     146     123  7.5256  -24.828    1073.0           0.0
     147     124  7.5256 -27.3108    1067.0           0.0
     148     125  7.5256 -29.7936    1060.0           0.0
     149     126  7.5256 -32.2764    1054.0           0.0
     150     127  7.5256 -34.7592    1047.0           0.0
     151     128  7.5256  -37.242    1041.0           0.0
     152       -     nan      nan       nan           1.0
     153   _S17_     nan      nan       nan           1.0
     154       -     nan      nan       nan           1.0
     155     129  9.6758  38.4834    1015.0           0.0
     156     130  9.6758  36.0006    1008.0           0.0
     157     131  9.6758  33.5178    1002.0           0.0
     158     132  9.6758   31.035     995.0           0.0
     159     133  9.6758  28.5522     989.0           0.0
     160     134  9.6758  26.0694     982.0           0.0
     161     135  9.6758  23.5866     976.0           0.0
     162     136  9.6758  21.1038     969.0           0.0
     163     S18     0.0   -600.0     963.0           0.0
     164     137  9.6758   18.621     956.0           0.0
     165     138  9.6758  16.1382     950.0           0.0
     166     139  9.6758  13.6554     944.0           0.0
     167     140  9.6758  11.1726     937.0           0.0
     168     141  9.6758   8.6898     930.0           0.0
     169     142  9.6758    6.207     924.0           0.0
     170     143  9.6758   3.7242     917.0           0.0
     171     144  9.6758   1.2414     911.0           0.0
     172     S19     0.0   -600.0     904.0           0.0
     173       -     nan      nan       nan           1.0
     174     145  9.6758  -1.2414     891.0           0.0
     175     146  9.6758  -3.7242     885.0           0.0
     176     147  9.6758   -6.207     878.0           0.0
     177     148  9.6758  -8.6898     872.0           0.0
     178     150  9.6758 -11.1726     865.0           0.0
     179     149  9.6758 -13.6554     859.0           0.0
     180     151  9.6758 -16.1382     853.0           0.0
     181     152  9.6758  -18.621     846.0           0.0
     182     S20     0.0   -600.0     840.0           0.0
     183     153  9.6758 -21.1038     833.0           0.0
     184     154  9.6758 -23.5866     827.0           0.0
     185     155  9.6758 -26.0694     820.0           0.0
     186     156  9.6758 -28.5522     814.0           0.0
     187     157  9.6758  -31.035     807.0           0.0
     188     158  9.6758 -33.5178     801.0           0.0
     189     159  9.6758 -36.0006     794.0           0.0
     190     160  9.6758 -38.4834     788.0           0.0
     191     S21     0.0   -600.0     781.0           0.0
     192       -     nan      nan       nan           1.0
     193     161 11.8259  39.7248     768.0           0.0
     194     162 11.8259   37.242     762.0           0.0
     195     163 11.8259  34.7592     755.0           0.0
     196     164 11.8259  32.2764     749.0           0.0
     197     165 11.8259  29.7936     742.0           0.0
     198     166 11.8259  27.3108     736.0           0.0
     199     167 11.8259   24.828     730.0           0.0
     200     168 11.8259  22.3452     723.0           0.0
     201     S22     0.0   -600.0     716.0           0.0
     202     169 11.8259  19.8624     710.0           0.0
     203     171 11.8259  17.3796     703.0           0.0
     204     170 11.8259  14.8968     697.0           0.0
     205     172 11.8259   12.414     691.0           0.0
     206     173 11.8259   9.9312     684.0           0.0
     207     174 11.8259   7.4484     678.0           0.0
     208     175 11.8259   4.9656     671.0           0.0
     209     176 11.8259   2.4828     665.0           0.0
     210   _S23_     nan      nan       nan           1.0
     211       -     nan      nan       nan           1.0
     212     177 11.8259      0.0     645.0           0.0
     213     178 11.8259  -2.4828     639.0           0.0
     214     179 11.8259  -4.9656     632.0           0.0
     215     180 11.8259  -7.4484     625.0           0.0
     216     181 11.8259  -9.9312     619.0           0.0
     217     182 11.8259  -12.414     613.0           0.0
     218     183 11.8259 -14.8968     606.0           0.0
     219     184 11.8259 -17.3796     600.0           0.0
     220     S24     0.0   -600.0     593.0           0.0
     221     185 11.8259 -19.8624     587.0           0.0
     222     186 11.8259 -22.3452     580.0           0.0
     223     187 11.8259  -24.828     574.0           0.0
     224     188 11.8259 -27.3108     567.0           0.0
     225     189 11.8259 -29.7936     561.0           0.0
     226     190 11.8259 -32.2764     554.0           0.0
     227     191 11.8259 -34.7592     548.0           0.0
     228     192 11.8259  -37.242     542.0           0.0
     229     S25     0.0   -600.0     535.0           0.0
     230       -     nan      nan       nan           1.0
     231     193 13.9761  38.4834     522.0           0.0
     232     194 13.9761  36.0006     515.0           0.0
     233     195 13.9761  33.5178     509.0           0.0
     234     196 13.9761   31.035     503.0           0.0
     235     197 13.9761  28.5522     496.0           0.0
     236     198 13.9761  26.0694     490.0           0.0
     237     199 13.9761  23.5866     483.0           0.0
     238     200 13.9761  21.1038     477.0           0.0
     239     S26     0.0   -600.0     470.0           0.0
     240     201 13.9761   18.621     464.0           0.0
     241     202 13.9761  16.1382     457.0           0.0
     242     203 13.9761  13.6554     451.0           0.0
     243     204 13.9761  11.1726     444.0           0.0
     244     205 13.9761   8.6898     438.0           0.0
     245     206 13.9761    6.207     432.0           0.0
     246     207 13.9761   3.7242     425.0           0.0
     247     208 13.9761   1.2414     419.0           0.0
     248     S27     0.0   -600.0     412.0           0.0
     249       -     nan      nan       nan           1.0
     250     209 13.9761  -1.2414     399.0           0.0
     251     210 13.9761  -3.7242     393.0           0.0
     252     211 13.9761   -6.207     386.0           0.0
     253     212 13.9761  -8.6898     380.0           0.0
     254     213 13.9761 -11.1726     373.0           0.0
     255     214 13.9761 -13.6554     367.0           0.0
     256     215 13.9761 -16.1382     360.0           0.0
     257     216 13.9761  -18.621     354.0           0.0
     258     S28     0.0   -600.0     348.0           0.0
     259     217 13.9761 -21.1038     341.0           0.0
     260     218 13.9761 -23.5866     335.0           0.0
     261     219 13.9761 -26.0694     328.0           0.0
     262     220 13.9761 -28.5522     322.0           0.0
     263     221 13.9761  -31.035     315.0           0.0
     264     222 13.9761 -33.5178     309.0           0.0
     265     223 13.9761 -36.0006     302.0           0.0
     266     224 13.9761 -38.4834     296.0           0.0
     267   _S29_     nan      nan       nan           1.0
     268       -     nan      nan       nan           1.0
     269     225 16.1263  39.7248     277.0           0.0
     270     226 16.1263   37.242     270.0           0.0
     271     227 16.1263  34.7592     264.0           0.0
     272     228 16.1263  32.2764     257.0           0.0
     273     229 16.1263  29.7936     251.0           0.0
     274     230 16.1263  27.3108     245.0           0.0
     275     231 16.1263   24.828     238.0           0.0
     276     232 16.1263  22.3452     232.0           0.0
     277     S30     0.0   -600.0     225.0           0.0
     278     233 16.1263  19.8624     219.0           0.0
     279     234 16.1263  17.3796     213.0           0.0
     280     235 16.1263  14.8968     206.0           0.0
     281     236 16.1263   12.414     200.0           0.0
     282     237 16.1263   9.9312     193.0           0.0
     283     238 16.1263   7.4484     187.0           0.0
     284     239 16.1263   4.9656     180.0           0.0
     285     240 16.1263   2.4828     174.0           0.0
     286     S31     0.0   -600.0     167.0           0.0
     287       -     nan      nan       nan           1.0
     288     241 16.1263      0.0     155.0           0.0
     289     242 16.1263  -2.4828     148.0           0.0
     290     243 16.1263  -4.9656     142.0           0.0
     291     244 16.1263  -7.4484     135.0           0.0
     292     245 16.1263  -9.9312     129.0           0.0
     293     246 16.1263  -12.414     122.0           0.0
     294     247 16.1263 -14.8968     116.0           0.0
     295     248 16.1263 -17.3796     110.0           0.0
     296     S32     0.0   -600.0     103.0           0.0
     297     249 16.1263 -19.8624      97.0           0.0
     298     250 16.1263 -22.3452      90.0           0.0
     299     251 16.1263  -24.828      84.0           0.0
     300     252 16.1263 -27.3108      78.0           0.0
     301     253 16.1263 -29.7936      71.0           0.0
     302     254 16.1263 -32.2764      65.0           0.0
     303     255 16.1263 -34.7592      58.0           0.0
     304     256 16.1263  -37.242      52.0           0.0
     305     S33     0.0   -600.0      46.0           0.0
