fiber_id head_id   ifu_x   ifu_y trace_row exclude_fiber
-------- ------- ------- ------- --------- -------------
       0       0  52.975  27.649     4.557             0
       1       1   47.68  27.549    12.315             0
       2       2  42.135  27.649    19.892             0
       3       3  36.941  27.574     27.45             0
       4       4  31.645  27.549    34.987             0
       5       5  26.451  27.474    42.646             0
       6       6  21.081  27.499    50.314             0
       7       7   15.76  27.524     57.74             0
       8       8   10.54  27.524    65.317             0
       9       9    5.27  27.499    72.928             0
      10      10  -0.125  27.524    80.643             0
      11      11  -5.395  27.424    88.275             0
      12      12 -10.665  27.474    95.934             0
      13      13  -15.81  27.474     103.6             0
      14      14  -21.23  27.499   110.974             0
      15      15  -26.55  27.599   118.664             0
      16      16  -31.87  27.624   126.321             0
      17      17 -37.015  27.499   133.967             0
      18      18 -42.485  27.599   141.501             0
      19      19 -47.655  27.624   149.159             0
      20      20 -53.075  27.624   156.771             0
      21      21  50.153  23.029   164.398             0
      22      22  44.933  23.278   171.963             0
      23      23  39.588  23.078   179.487             0
      24      24  34.343  22.979   187.132             0
      25      25  29.123  22.979   194.806             0
      26      26  23.727  23.053   202.297             0
      27      27  18.608  22.904   210.006             0
      28      28  13.163  22.879   217.651             0
      29      29   7.868  22.953   225.291             0
      30      30   2.598  23.003   233.027             0
      31      31  -2.797  22.904    240.49             0
      32      32  -7.992  22.804   248.184             0
      33      33 -13.263  22.904   255.771             0
      34      34 -18.583  22.904    263.48             0
      35      35 -23.778  22.879   271.111             0
      36      36 -29.148  23.003   278.843             0
      37      37 -34.493  23.053   286.392             0
      38      38 -39.688  23.078   294.008             0
      39      39 -45.008  23.003   301.474             0
      40      40 -50.353  23.029   309.289             0
      41      41  52.926  18.308     317.0             0
      42      42   47.48  18.433   324.581             0
      43      43  42.285  18.408    332.17             0
      44      44  37.015  18.358   339.882             0
      45      45  31.621  18.308   347.524             0
      46      46  26.401  18.408   355.278             0
      47      47   21.03  18.308   362.936             0
      48      48   15.66  18.358   370.607             0
      49      49   10.54  18.333   378.251             0
      50      50    5.12  18.283   385.933             0
      51      51  -0.025  18.358   393.564             0
      52      52  -5.345  18.358   401.091             0
      53      53 -10.665  18.333   408.519             0
      54      54 -16.035  18.458   416.472             0
      55      55  -21.23  18.258   423.897             0
      56      56 -26.575  18.283   431.724             0
      57      57 -31.845  18.458   439.333             0
      58      58 -37.165  18.458   447.144             0
      59      59  -42.41  18.433   454.642             0
      60      60  -47.63  18.408   462.375             0
      61      61   -53.0  18.508   470.058             0
      62      62  50.253  13.637   477.528             0
      63      63  44.958  13.862   485.405             0
      64      64  39.688  13.737   492.893             0
      65      65  34.318  13.662     500.7             0
      66      66  29.173  13.787   508.432             0
      67      67  23.753  13.887   515.817             0
      68      68  18.558  13.787   523.589             0
      69      69  13.238  13.712   531.408             0
      70      70   7.818  13.712   539.019             0
      71      71   2.598  13.712   546.687             0
      72      72  -2.747  13.662   554.164             0
      73      73  -7.968  13.762   561.898             0
      74      74 -13.263  13.812   569.592             0
      75      75 -18.732  13.787   577.247             0
      76      76 -23.703  13.887   584.767             0
      77      77 -29.198  13.812   592.573             0
      78      78 -34.493  13.837   600.235             0
      79      79 -39.663  13.887   607.835             0
      80      80 -45.108  13.812   615.497             0
      81      81 -50.403  13.862   623.208             0
      82      82  52.851   9.191   631.073             0
      83      83  47.531   9.191   638.664             0
      84      84   42.31   9.092   646.283             0
      85      85  36.941   9.067   653.894             0
      86      86  31.621   9.092   661.699             0
      87      87   26.35   9.241   669.176             0
      88      88  21.155   9.117   677.013             0
      89      89   15.81   9.117   684.602             0
      90      90  10.465   9.166   692.443             0
      91      91   5.295   9.141   700.016             0
      92      92   -0.05   9.141   707.695             0
      93      93  -5.345   9.092   715.455             0
      94      94  -10.69   9.241   723.039             0
      95      95 -15.835   9.117   730.845             0
      96      96  -21.33   9.017   738.408             0
      97      97  -26.55   9.141   746.115             0
      98      98  -31.72   9.216   753.914             0
      99      99 -37.215   9.266   761.449             0
     100     100 -42.335   9.291    769.15             0
     101     101 -47.805   9.266   776.755             0
     102     102 -53.075   9.266    784.46             0
     103     103  50.153   4.446   792.064             0
     104     104  45.008   4.546   799.967             0
     105     105  39.563   4.546   807.564             0
     106     106  34.418   4.446   815.108             0
     107     107  28.998   4.421   822.934             0
     108     108  23.753   4.471   830.483             0
     109     109  18.483   4.546   838.334             0
     110     110  13.013   4.571   845.881             0
     111     111   7.843   4.571   853.642             0
     112     112   2.448   4.621    861.21             0
     113     113  -2.622   4.571   868.949             0
     114     114  -8.067   4.521   876.542             0
     115     115 -13.188   4.471   884.418             0
     116     116 -18.558   4.496   892.091             0
     117     117 -23.878   4.546   899.784             0
     118     118 -29.173   4.546   907.427             0
     119     119 -34.468   4.546   915.146             0
     120     120 -39.688   4.546   922.739             0
     121     121 -45.083   4.796   930.467             0
     122     122 -50.353   4.671   938.082             0
     123     123  52.775  -0.025   945.617             0
     124     124   47.48    -0.1   953.375             0
     125     125  42.211   -0.05   961.111             0
     126     126  36.916   0.075   968.834             0
     127     127  31.695   0.125    976.48             0
     128     128  26.301     0.0   984.311             0
     129     129  21.055   0.075    991.85             0
     130     130  15.785     0.0   999.599             0
     131     131  10.565    0.05   1007.22             0
     132     132    5.12   0.125  1014.852             0
     133     133    -0.0     0.0  1022.433             0
     135     135  -5.345   0.025   1030.06             0
     136     136 -10.715  -0.025  1037.979             0
     137     137  -16.06    0.05  1045.601             0
     138     138  -21.28     0.0  1053.301             0
     139     139  -26.65    0.05  1060.938             0
     140     140  -31.92   0.025  1068.644             0
     141     141 -37.165    0.05  1076.402             0
     142     142  -42.46  -0.025  1084.129             0
     143     143 -47.805     0.2  1091.805             0
     144     144 -53.075    0.05  1099.511             0
     145     145  50.203  -4.671  1107.121             0
     146     146  44.958  -4.696  1114.837             0
     147     147  39.488  -4.646  1122.386             0
     148     148  34.318  -4.671  1130.116             0
     149     149  29.047   -4.77  1137.842             0
     150     150  23.603  -4.646  1145.481             0
     151     151  18.358  -4.646  1153.105             0
     152     152  13.163  -4.646  1160.704             0
     153     153   7.893  -4.646  1168.571             0
     154     154   2.523  -4.671  1176.185             0
     155     155  -2.648  -4.646  1183.925             0
     156     156  -8.017  -4.696  1191.526             0
     157     157 -13.462  -4.446  1199.415             0
     158     158 -18.707  -4.571  1206.936             0
     159     159 -23.928  -4.671  1214.866             0
     160     160 -29.273  -4.521  1222.402             0
     161     161 -34.518  -4.621  1230.144             0
     162     162 -39.613  -4.721  1237.711             0
     163     163 -45.058  -4.546  1245.423             0
     164     164 -50.478  -4.646  1253.046             0
     165     165  52.701  -9.341  1260.801             0
     166     166   47.48  -9.141  1268.507             0
     167     167  42.211  -9.266  1276.081             0
     168     168  36.965  -9.191  1283.858             0
     169     169  31.546  -9.166  1291.414             0
     170     170    26.5  -9.266  1299.165             0
     171     171  21.055  -9.316  1306.794             0
     172     172   15.71  -9.166  1314.601             0
     173     173  10.515  -9.391    1322.2             0
     174     174   5.295  -9.291  1329.867             0
     175     175   -0.05  -9.266  1337.542             0
     176     176  -5.445  -9.191  1345.258             0
     177     177  -10.74  -9.241  1352.902             0
     178     178  -15.91  -9.216  1360.598             0
     179     179 -21.255  -9.091  1368.181             0
     180     180   -26.5  -9.191  1375.801             0
     181     181  -31.92  -9.091    1383.5             0
     182     182  -37.29  -9.091  1391.266             0
     183     183  -42.56  -9.067  1398.771             0
     184     184 -47.705  -9.116  1406.652             0
     185     185   -53.0  -9.116  1414.306             0
     186     186  50.078 -13.962  1422.022             0
